,address_geocoded,displayLongitude,displayLatitude,address
89,"проспект Мангилик Ел 19/2, 010000 Нұр-Сұлтан, Қазақстан",71.43129,51.11453,пр. Мангилик Ел д. 19/2
90,"проспект Мангилик Ел 19/2, 010000 Нұр-Сұлтан, Қазақстан",71.43129,51.11453,"пр. Мангилик Ел, д. 19/2"
91,"проспект Мангилик Ел 27, 010018 Нұр-Сұлтан, Қазақстан",71.43022,51.10927,"пр. Мангилик Ел, д. 27"
92,"проспект Мангилик Ел 33/2, 010018 Нұр-Сұлтан, Қазақстан",71.42729,51.10709,"пр. Мангилик Ел, д. 33/2"
93,"проспект Мангилик Ел 50, 010000 Нұр-Сұлтан, Қазақстан",71.42755,51.09468,"пр. Мангилик Ел, д. 52"
94,"проспект Мангилик Ел 53, 010000 Нұр-Сұлтан, Қазақстан",71.42553,51.09383,"пр. Мангилик Ел, д. 54"
95,"проспект Бауыржана Момышулы 10, 010010 Нұр-Сұлтан, Қазақстан",71.47566,51.13884,"пр. Момышулы, д. 10"
96,"проспект Бауыржана Момышулы 18/1, 010000 Нұр-Сұлтан, Қазақстан",71.48653,51.14093,"пр. Момышулы, д. 18/1"
97,"проспект Республики 1, 010000 Нұр-Сұлтан, Қазақстан",71.42884,51.1575,"пр. Республики, д. 1"
98,"проспект Республики 21, 010000 Нұр-Сұлтан, Қазақстан",71.4274,51.16367,"пр. Республики, д. 21"
99,"проспект Республики 30, 010000 Нұр-Сұлтан, Қазақстан",71.42728,51.16776,"пр. Республики, д. 30"
100,"проспект Республики 52/1, 010000 Нұр-Сұлтан, Қазақстан",71.42355,51.18184,"пр. Республики, д. 52/1"
101,"проспект Республики 59, 010000 Нұр-Сұлтан, Қазақстан",71.42202,51.18226,"пр. Республики, д. 59"
102,"проспект Республики 7, 010000 Нұр-Сұлтан, Қазақстан",71.42832,51.16025,"пр. Республики, д. 7"
103,"проспект Республики 84, 010011 Нұр-Сұлтан, Қазақстан",71.42169,51.19071,"пр. Республики, д. 84"
104,"проспект Сарыарка 11, 010000 Нұр-Сұлтан, Қазақстан",71.40863,51.16372,"пр. Сарыарка, д. 11"
105,"проспект Сарыарка 19, 010000 Нұр-Сұлтан, Қазақстан",71.40764,51.1688,"пр. Сарыарка, д. 19"
106,"проспект Сарыарка 21, 010000 Нұр-Сұлтан, Қазақстан",71.407,51.16968,"пр. Сарыарка, д. 21"
107,"проспект Тауелсыздык 45, 010010 Нұр-Сұлтан, Қазақстан",71.46747,51.1343,"пр. Тауелcыздык, д. 45/1"
108,"проспект Тауелсыздык 34, 010010 Нұр-Сұлтан, Қазақстан",71.46595,51.14026,"пр. Тауелсиздик, д. 34"
109,"проспект Тауелсыздык 1, 010010 Нұр-Сұлтан, Қазақстан",71.45458,51.15227,"пр. Тауелсыздык, д. 1/1"
110,"проспект Тауелсыздык 12/1, 010010 Нұр-Сұлтан, Қазақстан",71.46063,51.14876,"пр. Тауелсыздык, д. 12/1"
111,"проспект Тауелсыздык 21, 010010 Нұр-Сұлтан, Қазақстан",71.45946,51.14527,"пр. Тауелсыздык, д. 21"
112,"проспект Тауелсыздык 32, 010010 Нұр-Сұлтан, Қазақстан",71.46433,51.14153,"пр. Тауелсыздык, д. 32"
113,"проспект Тауелсыздык 3/2, 010010 Нұр-Сұлтан, Қазақстан",71.45533,51.15043,"пр. Тауелсыздык, д. 3/2"
114,"проспект Тауелсыздык 34, 010010 Нұр-Сұлтан, Қазақстан",71.46595,51.14026,"пр. Тауелсыздык, д. 34"
115,"проспект Тауелсыздык 34, 010010 Нұр-Сұлтан, Қазақстан",71.46595,51.14026,"пр. Тауелсыздык, д. 34"
116,"проспект Нургисы Тлендиева 15, 010000 Нұр-Сұлтан, Қазақстан",71.3768,51.17969,"пр. Тлендиева, д. 15"
